"year","nPos","nNeg","nTotal","propPos"
2009,40,40,80,0.5
2010,82,16,98,0.836734693877551
2011,62,47,109,0.568807339449541
2013,79,88,167,0.473053892215569
2006,5,18,23,0.217391304347826
2015,21,55,76,0.276315789473684
2004,0,108,108,0
2017,74,24,98,0.755102040816326
2007,3,84,87,0.0344827586206897
2005,0,223,223,0
2008,20,35,55,0.363636363636364
2012,40,39,79,0.506329113924051
2014,62,74,136,0.455882352941176
