"year","nPos","nNeg","nTotal","propPos"
2008,51,367,418,0.12200956937799
2009,98,206,304,0.322368421052632
2010,239,374,613,0.389885807504078
2011,261,371,632,0.412974683544304
2013,409,658,1067,0.38331771321462
2014,411,516,927,0.44336569579288
2006,7,183,190,0.0368421052631579
2004,0,491,491,0
2015,115,164,279,0.412186379928315
2017,196,108,304,0.644736842105263
2007,7,153,160,0.04375
2005,0,415,415,0
2012,146,283,429,0.34032634032634
